Crossy,Time,Vali,EJ
70,1,215,235
150,2,267,15
124,3,57,95
293,4,20,65
118,5,76,73
69,6,116,94
89,7,46,99
172,8,37,47
40,9,31,130
159,10,261,118
368,11,23,126
76,12,237,96
124,13,6,233
43,14,128,17
160,15,3,115
73,16,6,405
58,17,37,15
159,18,160,36
107,19,88,29
262,20,,
38,21,,
22,22,,
144,23,,
54,24,,
107,25,,
268,26,,
477,27,,
114,28,,
4,29,,
93,30,,
88,31,,
160,32,,
301,33,,
148,34,,
236,35,,
10,36,,
168,37,,
121,38,,
252,39,,
7,40,,
54,41,,
174,42,,
102,43,,
366,44,,
125,45,,
77,46,,
105,47,,
233,48,,
69,49,,
405,50,,
308,51,,
158,52,,
32,53,,
103,54,,
151,55,,
184,56,,
88,57,,
202,58,,
106,59,,
86,60,,
75,61,,
165,62,,
116,63,,
58,64,,
251,65,,
232,66,,
162,67,,
70,68,,
68,69,,
325,70,,
178,71,,
99,72,,
116,73,,
93,74,,
191,75,,
104,76,,
175,77,,
28,78,,
66,79,,
39,80,,
4,81,,
133,82,,
292,83,,
125,84,,
156,85,,
40,86,,
137,87,,
143,88,,
121,89,,
69,90,,
53,91,,
326,92,,
227,93,,
360,94,,
33,95,,
381,96,,
85,97,,
97,98,,
356,99,,
160,100,,
153,101,,
69,102,,
323,103,,
208,104,,
70,105,,
264,106,,
112,107,,
183,108,,
109,109,,
32,110,,
52,111,,
120,112,,
180,113,,
